our_train,possible_tracks
G1,"[PTb, PTb+, PTc, DE2, DE3, NL1, NL2, GHE16, GEA16, GEB16, GEC16, FIN1, SEa, SEc, BE1, BE2, BE3, FR-3.3, EBV1, EBV2, G1, G2, GA, GB, GB1, GB2, GC]"
GED10,"[PTb, PTb+, PTc, DE1, DE2, DE3, NL1, NL2, GHE16, GEA16, GEB16, GEC16, GEE10, GED10, FIN1, SEa, SEc, BE1, BE2, BE3, EBV1, EBV2, G2, GB, GB1, GB2, GC]"
GEE10,"[PTb, PTb+, PTc, DE1, DE2, DE3, NL1, NL2, GHE16, GEA16, GEB16, GEC16, GEE10, FIN1, SEa, SEc, BE1, BE2, BE3, EBV1, EBV2, G2, GB, GB1, GB2, GC]"
GA,"[PTb, PTb+, PTc, DE2, DE3, NL1, NL2, GEA16, GEB16, GEC16, FIN1, SEa, SEc, BE1, BE2, BE3, EBV1, EBV2, G2, GA, GB, GB1, GB2, GC]"
FR-3.3,"[PTb, PTb+, PTc, DE2, DE3, NL1, NL2, GEA16, GEB16, GEC16, FIN1, SEa, SEc, BE1, BE2, BE3, FR-3.3, EBV1, EBV2, G2, GB2, GC]"
GB,"[PTb, PTb+, PTc, DE3, NL2, GEB16, GEC16, FIN1, SEa, SEc, BE2, BE3, EBV1, EBV2, GB, GB1, GB2, GC]"
DE1,"[PTc, DE1, DE2, DE3, NL1, NL2, GEC16, FIN1, SEa, SEc, BE3, EBV2, G2, GC]"
G2,"[PTc, DE3, NL1, NL2, GEC16, FIN1, SEa, SEc, BE3, G2, GC]"
GHE16,"[PTb, PTb+, PTc, GHE16, GEA16, GEB16, GEC16, FIN1, SEa, SEc, EBV1]"
GEA16,"[PTb, PTb+, PTc, GEA16, GEB16, GEC16, FIN1, SEa, SEc, EBV1]"
EBV2,"[PTc, DE3, NL2, GEC16, FIN1, SEa, SEc, BE3, EBV2, GC]"
DE2,"[PTc, DE2, DE3, NL2, GEC16, FIN1, SEa, SEc, BE3, GC]"
BE1,"[PTc, GEC16, FIN1, SEa, SEc, BE1, BE2, BE3, GC]"
GEB16,"[PTb, PTb+, PTc, GEB16, GEC16, FIN1, SEa, SEc, EBV1]"
DE3,"[PTc, DE3, NL2, GEC16, FIN1, SEa, SEc, BE3, GC]"
GB1,"[PTb+, PTc, NL2, GEC16, FIN1, SEc, GB1, GB2, GC]"
BE2,"[PTc, GEC16, FIN1, SEa, SEc, BE2, BE3, GC]"
BE3,"[PTc, GEC16, FIN1, SEa, SEc, BE3, GC]"
GB2,"[PTc, NL2, GEC16, FIN1, SEc, GB2, GC]"
PTb,"[PTb, PTb+, PTc, SEa, SEc, EBV1]"
NL1,"[NL1, NL2, FIN1, SEa, SEc]"
GC,"[PTc, GEC16, SEc, GC]"
PTb+,"[PTb+, PTc, SEc]"
GEC16,"[PTc, GEC16, SEc]"
EBV1,"[SEc, EBV1]"
PTc,"[PTc, SEc]"
SEa,"[SEa, SEc]"
NL2,"[NL2, SEc]"
FIN1,[FIN1]
SEc,[SEc]
